id,structural_resolution,mass,sialic_derivatization,gu_mean,gu_max,gu_min,monosaccharide_comp_id
LBG-TCV1O,"",1130.58,f,4.17,4.17,4.17,11
LBG-8Z1IN,"",1276.638,f,4.62,4.62,4.62,1
LBG-6TW5H,"",1333.659,f,4.72,4.72,4.72,12
LBG-7BYI0,"",1333.659,f,5.36,5.96,4.76,12
LBG-6CF99,"",1210.569,f,5.285,6.09,4.48,2
LBG-3VC09,"",1292.633,f,5.545,6.09,5,3
LBG-X4NJX,"",1292.633,f,5.335,6.12,4.55,3
LBG-3BTMM,"",1292.633,f,6.16,6.16,6.16,3
LBG-4EU0M,"",1479.717,f,5.395,6.16,4.63,4
LBG-0FGUI,"",1479.717,f,4.53,4.53,4.53,4
LBG-VKSYE,"",1479.717,f,5.1,5.1,5.1,6
LBG-9WYWD,"",1495.712,f,5.54,5.54,5.54,14
LBG-BN0V5,"",1682.796,f,5.66,5.66,5.66,15
LBG-UGU53,"",1559.697,f,6.16,6.16,6.16,16
LBG-R5HIJ,"",1479.717,f,6.2,6.2,6.2,6
LBG-F64OH,"",1276.638,f,5.11,5.96,4.26,1
LBG-IJ45G,"",1536.738,f,5.705,6.16,5.25,7
LBG-4BKUR,"",1536.738,f,5.47,6.2,4.74,7
LBG-AC67Y,"",1438.69,f,5.595,6.26,4.93,8
LBG-1UIUW,"",1682.796,f,6.37,6.37,6.37,9
LBG-DXDZL,"",2047.929,f,6.825,7.09,6.56,32
LBG-3W7T5,"",1372.622,f,5.17,5.17,5.17,18
LBG-EIC3B,"",1682.796,f,5.17,5.17,5.17,9
LBG-BO9HU,"",1682.796,f,5.24,5.24,5.24,15
LBG-3L86N,"",1698.791,f,6.03,6.03,6.03,20
LBG-RE0SK,"",1454.685,f,6.59,6.59,6.59,19
LBG-L79U0,"",1885.876,f,5.9225,6.59,5.47,21
LBG-SRI2M,"",1454.685,f,5.8275,6.53,5.35,19
LBG-2GNTV,"",1739.818,f,5.523,6.37,5.03,17
LBG-IZCBB,"",1885.876,f,6.05,6.05,6.05,21
LBG-Z3TDF,"",1641.77,f,6.05,6.05,6.05,22
LBG-IVE21,"",1698.791,f,6.14,6.14,6.14,20
LBG-URH8S,"",1454.685,f,6.8,6.8,6.8,19
LBG-3I6A2,"",1600.743,f,6.8,6.8,6.8,23
LBG-CKQDP,"",1844.849,f,6.2,6.8,5.87,24
LBG-4OSF7,"",1534.675,f,5.93,5.93,5.93,25
LBG-185XS,"",2127.908,f,5.93,5.93,5.93,26
LBG-UHJQE,"",1885.876,f,6.245,6.8,5.69,21
LBG-XVZH0,"",1901.871,f,6.04,6.04,6.04,27
LBG-7L9EO,"",1657.765,f,6.04,6.04,6.04,28
LBG-XNKRG,"",2088.955,f,6.04,6.04,6.04,29
LBG-TJDD2,"",1534.675,f,6.04,6.04,6.04,2
LBG-02578,"",2127.928,f,6.06,6.06,6.06,30
LBG-8LZPA,"",1901.871,f,6.37,6.37,6.37,27
LBG-MP75U,"",1454.685,f,6.89,6.89,6.89,19
LBG-WTL5I,"",1657.765,f,6.495,6.89,6.1,28
LBG-U2VE3,"",1901.871,f,6.1,6.1,6.1,27
LBG-Q896F,"",2088.955,f,6.1,6.1,6.1,31
LBG-4YN56,"",1844.849,f,6.495,6.89,6.1,24
LBG-3EMU2,"",1657.765,f,6.46,6.46,6.46,28
LBG-ORP7D,"",1844.849,f,6.48,6.48,6.48,24
LBG-LIHK2,"",1844.849,f,6.6,6.6,6.6,24
LBG-2W33G,"",2047.929,f,6.66,6.66,6.66,32
LBG-KSK1B,"",2047.929,f,6.74,6.74,6.74,32
LBG-NTF23,"",2047.929,f,6.74,6.74,6.74,32
LBG-JYD7R,"",1803.823,f,6.8,6.8,6.8,33
LBG-HWHTU,"",1454.685,f,6.98,6.98,6.98,19
LBG-L1KYL,"",1657.765,f,6.98,6.98,6.98,28
LBG-MKQ0L,"",1664.728,f,6.98,6.98,6.98,34
LBG-CGBKG,"",1786.812,f,6.98,6.98,6.98,35
LBG-CRK0C,"",2127.908,f,6.25,6.25,6.25,26
LBG-94A05,"",1844.849,f,6.615,6.98,6.25,24
LBG-M92PN,"",1616.738,f,7.04,7.04,7.04,36
LBG-1L3V8,"",1844.849,f,6.695,7.04,6.35,24
LBG-6KHQ4,"",1860.844,f,6.695,7.04,6.35,37
LBG-WRBVX,"",2047.929,f,6.577,7.04,6.34,32
LBG-5SPVW,"",2088.955,f,7.04,7.04,7.04,31
LBG-2R85R,"",1616.738,f,6.7,7.09,6.41,36
LBG-G4X93,"",1787.828,f,7.09,7.09,7.09,38
LBG-FV4KD,"",1860.844,f,6.56,6.56,6.56,37
LBG-IHQEP,"",2352.069,f,6.56,6.56,6.56,39
LBG-05375,"",1860.844,f,6.91,6.91,6.91,37
LBG-0V3H7,"",1860.844,f,6.93,6.93,6.93,37
LBG-XI7XO,"",1616.738,f,7.17,7.17,7.17,36
LBG-UQS65,"",1803.823,f,6.865,7.17,6.56,40
LBG-019LN,"",1803.823,f,6.93,6.93,6.93,40
LBG-9BLJ9,"",1844.849,f,7.17,7.17,7.17,24
LBG-07TK2,"",1860.844,f,6.935,7.17,6.7,37
LBG-97PH1,"",1990.907,f,6.7,6.7,6.7,41
LBG-LAED7,"",2574.123,f,6.7,6.7,6.7,42
