id,glycan_id,modelspecies_id
1,LBG-F64OH,2
2,LBG-F64OH,3
3,LBG-F64OH,4
4,LBG-F64OH,5
5,LBG-TCV1O,6
6,LBG-8Z1IN,6
7,LBG-6TW5H,6
8,LBG-7BYI0,2
9,LBG-7BYI0,6
10,LBG-6CF99,2
11,LBG-6CF99,4
12,LBG-3VC09,2
13,LBG-3VC09,6
14,LBG-X4NJX,2
15,LBG-X4NJX,3
16,LBG-X4NJX,4
17,LBG-X4NJX,5
18,LBG-3BTMM,2
19,LBG-4EU0M,2
20,LBG-4EU0M,3
21,LBG-4EU0M,4
22,LBG-4EU0M,5
23,LBG-0FGUI,7
24,LBG-VKSYE,6
25,LBG-IJ45G,2
26,LBG-IJ45G,6
27,LBG-9WYWD,6
28,LBG-BN0V5,6
29,LBG-UGU53,2
30,LBG-R5HIJ,2
31,LBG-4BKUR,2
32,LBG-4BKUR,3
33,LBG-4BKUR,4
34,LBG-4BKUR,5
35,LBG-AC67Y,2
36,LBG-AC67Y,3
37,LBG-AC67Y,4
38,LBG-AC67Y,5
39,LBG-1UIUW,2
40,LBG-2GNTV,2
41,LBG-2GNTV,3
42,LBG-2GNTV,4
43,LBG-2GNTV,5
45,LBG-3W7T5,4
46,LBG-EIC3B,3
47,LBG-EIC3B,4
48,LBG-EIC3B,5
49,LBG-BO9HU,3
50,LBG-BO9HU,4
51,LBG-BO9HU,5
52,LBG-SRI2M,2
53,LBG-SRI2M,3
54,LBG-SRI2M,4
55,LBG-SRI2M,5
56,LBG-SRI2M,6
58,LBG-3L86N,6
59,LBG-RE0SK,2
60,LBG-L79U0,2
61,LBG-L79U0,3
62,LBG-L79U0,4
63,LBG-L79U0,5
64,LBG-L79U0,6
66,LBG-L79U0,7
67,LBG-SRI2M,7
68,LBG-2GNTV,7
69,LBG-IZCBB,6
70,LBG-Z3TDF,6
71,LBG-IVE21,6
72,LBG-URH8S,2
73,LBG-3I6A2,2
74,LBG-CKQDP,2
75,LBG-CKQDP,3
76,LBG-CKQDP,4
77,LBG-CKQDP,5
78,LBG-CKQDP,7
79,LBG-4OSF7,4
80,LBG-185XS,3
81,LBG-185XS,4
82,LBG-185XS,5
83,LBG-UHJQE,2
84,LBG-UHJQE,3
85,LBG-UHJQE,4
86,LBG-UHJQE,5
87,LBG-XVZH0,3
88,LBG-XVZH0,4
89,LBG-XVZH0,5
90,LBG-7L9EO,3
91,LBG-7L9EO,4
92,LBG-7L9EO,5
93,LBG-XNKRG,4
94,LBG-XNKRG,5
95,LBG-TJDD2,4
96,LBG-02578,7
97,LBG-8LZPA,6
98,LBG-MP75U,2
99,LBG-WTL5I,2
100,LBG-WTL5I,3
101,LBG-WTL5I,4
102,LBG-U2VE3,3
103,LBG-U2VE3,4
104,LBG-U2VE3,5
105,LBG-Q896F,3
106,LBG-Q896F,4
107,LBG-Q896F,5
108,LBG-4YN56,2
109,LBG-4YN56,3
110,LBG-4YN56,4
111,LBG-4YN56,5
112,LBG-3EMU2,6
113,LBG-ORP7D,6
114,LBG-LIHK2,6
115,LBG-2W33G,6
116,LBG-KSK1B,6
117,LBG-NTF23,6
118,LBG-JYD7R,6
119,LBG-HWHTU,2
120,LBG-L1KYL,2
121,LBG-MKQ0L,2
122,LBG-CGBKG,2
123,LBG-CRK0C,3
124,LBG-94A05,2
125,LBG-94A05,3
126,LBG-94A05,4
127,LBG-94A05,5
128,LBG-M92PN,2
129,LBG-1L3V8,2
130,LBG-1L3V8,4
131,LBG-1L3V8,5
132,LBG-6KHQ4,2
133,LBG-6KHQ4,3
134,LBG-6KHQ4,4
135,LBG-6KHQ4,5
136,LBG-WRBVX,2
137,LBG-WRBVX,3
138,LBG-WRBVX,4
139,LBG-WRBVX,5
140,LBG-WRBVX,7
141,LBG-5SPVW,2
142,LBG-2R85R,2
143,LBG-2R85R,3
144,LBG-2R85R,4
145,LBG-2R85R,5
146,LBG-2R85R,6
147,LBG-2R85R,7
148,LBG-G4X93,2
149,LBG-DXDZL,2
150,LBG-DXDZL,3
151,LBG-DXDZL,4
152,LBG-DXDZL,5
153,LBG-FV4KD,3
154,LBG-FV4KD,4
155,LBG-FV4KD,5
156,LBG-FV4KD,7
157,LBG-IHQEP,7
158,LBG-05375,6
159,LBG-0V3H7,6
160,LBG-XI7XO,2
161,LBG-UQS65,2
162,LBG-UQS65,7
163,LBG-019LN,6
164,LBG-9BLJ9,2
165,LBG-07TK2,2
166,LBG-07TK2,3
167,LBG-07TK2,4
168,LBG-07TK2,5
169,LBG-97PH1,5
170,LBG-LAED7,3
