id,H_num,N_num,F_num,P_num,T_num,A_num,G_num,S_num,E_num,M_num,composition_string
2,3,2,0,1,0,0,0,0,0,0,H3N2P1
11,3,2,0,0,0,0,0,0,0,0,H3N2
48,5,3,1,0,0,0,0,0,0,1,H5N3F1M1
84,5,5,2,0,0,0,0,0,0,0,H5N5F2
96,6,4,2,0,0,0,0,0,0,0,H6N4F2
1,3,2,1,0,0,0,0,0,0,0,H3N2F1
3,4,2,0,0,0,0,0,0,0,0,H4N2
4,3,3,1,0,0,0,0,0,0,0,H3N3F1
5,3,3,1,0,1,0,0,0,0,0,H3N3F1T1
6,3,3,1,0,0,0,0,0,0,0,H3N3F1
7,3,4,0,0,0,0,0,0,0,0,H3N4
9,3,4,1,0,0,0,0,0,0,0,H3N4F1
8,4,2,1,0,0,0,0,0,0,0,H4N2F1
12,3,3,0,0,0,0,0,0,0,0,H3N3
14,4,3,0,0,0,0,0,0,0,0,H4N3
15,3,4,1,0,0,0,0,0,0,0,H3N4F1
16,3,3,1,0,1,0,0,0,0,0,H3N3F1T1
17,3,5,0,0,0,0,0,0,0,0,H3N5
18,4,2,0,1,0,0,0,0,0,0,H4N2P1
19,5,2,0,0,0,0,0,0,0,0,H5N2
20,4,4,0,0,0,0,0,0,0,0,H4N4
21,3,5,1,0,0,0,0,0,0,0,H3N5F1
22,4,3,1,0,0,0,0,0,0,0,H4N3F1
23,5,2,1,0,0,0,0,0,0,0,H5N2F1
24,4,4,1,0,0,0,0,0,0,0,H4N4F1
25,5,2,0,1,0,0,0,0,0,0,H5N2P1
26,4,5,1,0,1,0,0,0,0,0,H4N5F1T1
27,4,5,0,0,0,0,0,0,0,0,H4N5
28,5,3,0,0,0,0,0,0,0,0,H5N3
29,3,6,1,0,0,0,0,0,0,0,H3N6F1
30,7,3,1,0,0,0,0,0,0,0,H7N3F1
31,3,6,1,0,0,0,0,0,0,0,H3N6F1
32,4,5,1,0,0,0,0,0,0,0,H4N5F1
33,5,3,1,0,0,0,0,0,0,0,H5N3F1
34,4,2,2,0,1,0,0,0,0,0,H4N2F2T1
35,4,3,0,0,0,0,0,1,0,0,H4N3S1
36,6,2,0,0,0,0,0,0,0,0,H6N2
37,5,4,0,0,0,0,0,0,0,0,H5N4
38,4,3,2,0,0,0,0,0,0,0,H4N3F2
39,4,5,1,0,0,0,0,0,0,1,H4N5F1M1
40,5,3,1,0,0,0,0,0,0,0,H5N3F1
41,4,4,2,0,0,0,0,0,0,0,H4N4F2
42,4,4,4,0,0,0,0,1,0,0,H4N4F4S1
43,5,3,1,0,1,0,0,0,0,0,H5N3F1T1
44,4,3,2,0,1,0,0,0,0,0,H4N3F2T1
45,4,3,1,0,0,0,0,1,0,0,H4N3F1S1
47,5,4,1,0,0,0,0,0,0,0,H5N4F1
46,3,4,1,0,0,0,0,1,0,0,H3N4F1S1
49,4,4,1,0,0,0,0,1,0,0,H4N4F1S1
50,5,5,0,0,0,0,0,0,0,0,H5N5
51,4,5,1,0,0,0,0,1,0,0,H4N5F1S1
52,6,3,0,0,0,0,0,0,0,0,H6N3
53,5,3,0,0,0,0,0,1,0,0,H5N3S1
54,5,4,0,0,0,0,0,0,0,1,H5N4M1
55,4,5,2,0,0,0,0,0,0,0,H4N5F2
56,7,2,0,0,0,0,0,0,0,0,H7N2
57,5,5,1,0,0,0,0,0,0,0,H5N5F1
59,5,3,2,0,0,0,0,0,0,0,H5N3F2
61,5,4,0,0,0,0,0,1,0,0,H5N4S1
62,6,5,0,0,0,0,0,0,0,0,H6N5
63,6,4,1,0,0,0,0,0,0,0,H6N4F1
64,5,4,1,0,0,0,0,1,0,0,H5N4F1S1
65,6,5,1,0,0,0,0,0,0,0,H6N5F1
67,4,6,2,0,0,0,0,0,0,0,H4N6F2
68,4,5,1,0,1,1,0,0,0,0,H4N5F1T1A1
70,3,4,3,0,0,0,0,0,0,0,H3N4F3
71,5,4,1,0,0,0,0,0,0,2,H5N4F1M2
73,5,4,1,0,0,0,0,0,0,1,H5N4F1M1
74,6,2,0,1,0,0,0,0,0,0,H6N2P1
75,5,3,1,0,0,0,0,1,0,0,H5N3F1S1
76,6,2,0,1,0,0,0,0,0,0,H6N2P1
77,6,3,1,0,0,0,0,0,0,0,H6N3F1
79,4,6,1,0,0,0,0,1,0,0,H4N6F1S1
80,8,2,0,0,0,0,0,0,0,0,H8N2
81,5,4,2,0,0,0,0,0,0,1,H5N4F2M1
82,6,3,0,0,0,0,0,1,0,0,H6N3S1
85,4,5,2,0,0,0,0,1,0,0,H4N5F2S1
